"data","dia.do.ano","t.media","t.max","t.min","chuva","ur","estacao"
2009-11-03,307,27.4229166666667,32.48,22.8,0,74.8764583333333,"Primavera"
2009-11-04,308,27.49125,32.07,24.95,0,77.23125,"Primavera"
2009-11-05,309,28.190625,32.24,24.01,0,70.9304166666667,"Primavera"
2009-11-06,310,28.2266666666667,31.86,24.39,0,70.0795833333333,"Primavera"
2009-11-07,311,28.160625,31.39,25.06,0,68.583125,"Primavera"
2009-11-08,312,29.5264583333333,33.16,25.97,0,61.6541666666667,"Primavera"
2009-11-09,313,29.7054166666667,33.72,25.82,0,60.2858333333333,"Primavera"
2009-11-10,314,28.2985416666667,31.79,24,0,70.8552083333333,"Primavera"
2009-11-11,315,29.1108333333333,33.5,25.83,0.2,67.899375,"Primavera"
2009-11-12,316,30.365,35.38,25.11,0,60.8795833333333,"Primavera"
2009-11-13,317,27.955625,32.04,24.83,4.4,72.0027083333333,"Primavera"
2009-11-14,318,25.8170833333333,30.61,22.1,10,81.8977083333333,"Primavera"
2009-11-15,319,25.2675,28.31,23.41,3,87.85625,"Primavera"
2009-11-16,320,28.3952083333333,32.81,23.66,0,71.08,"Primavera"
2009-11-17,321,29.709375,33.18,26.13,0,63.4729166666667,"Primavera"
2009-11-18,322,29.8520833333333,33.73,26.42,0,65.2179166666667,"Primavera"
2009-11-19,323,29.6089583333333,33.22,25.88,0,62.9372916666667,"Primavera"
2009-11-20,324,29.5420833333333,33.49,25.99,0.2,63.2966666666667,"Primavera"
2009-11-21,325,29.8927083333333,34.05,26.2,0,58.4395833333333,"Primavera"
2009-11-22,326,29.4625,33.7,25.41,0,55.6166666666667,"Primavera"
2009-11-23,327,30.0729166666667,34.05,26.2,0,51.8966666666667,"Primavera"
2009-11-24,328,30.721875,35.37,26.17,0,50.2839583333333,"Primavera"
2009-11-25,329,30.6927083333333,34.72,25.37,0.6,51.1366666666667,"Primavera"
2009-11-26,330,29.428125,32.81,26.68,0.4,61.011875,"Primavera"
2009-11-27,331,29.3245833333333,33.44,25.3,0.2,63.1402083333333,"Primavera"
2009-11-28,332,29.8727083333333,34.53,25.14,0,53.7970833333333,"Primavera"
2009-11-29,333,30.4,34.67,26,0,51.0216666666667,"Primavera"
2009-11-30,334,29.9970833333333,34.36,26.06,0,56.1720833333333,"Primavera"
2009-12-01,335,29.0766666666667,33.1,25.12,0,67.2210416666667,"Primavera"
2009-12-02,336,29.2785416666667,33.72,25.24,3.6,66.5104166666667,"Primavera"
2009-12-03,337,30.3558333333333,34.35,26.4,0,58.11125,"Primavera"
